CDL Code,CDL Category,HSPF Category,Red,Green,Blue
0,Empty,Empty,255,255,255
1,Corn,Corn,255,211,0
2,Cotton,Other,0,0,0
3,Rice,Other grain,255,221,165
4,Sorghum,Other grain,255,221,165
5,Soybeans,Soybeans,38,112,0
6,Sunflower,Other,0,0,0
7,,Other,0,0,0
8,,Other,0,0,0
9,,Other,0,0,0
10,Peanuts,Other,0,0,0
11,Tobacco,Other,0,0,0
12,Sweet Corn,Corn,255,211,0
13,Pop or Orn Corn,Corn,255,211,0
14,Mint,Other,0,0,0
15,,Other,0,0,0
16,,Other,0,0,0
17,,Other,0,0,0
18,,Other,0,0,0
19,,Other,0,0,0
20,,Other,0,0,0
21,Barley,Other grain,255,221,165
22,Durum Wheat,Other grain,255,221,165
23,Spring Wheat,Other grain,255,221,165
24,Winter Wheat,Other grain,255,221,165
25,Other Small Grains,Other grain,255,221,165
26,Dbl Crop WinWht/Soybeans,Other grain,255,221,165
27,Rye,Other grain,255,221,165
28,Oats,Other grain,255,221,165
29,Millet,Other grain,255,221,165
30,Speltz,Other grain,255,221,165
31,Canola,Other,0,0,0
32,Flaxseed,Other,0,0,0
33,Safflower,Other,0,0,0
34,Rape Seed,Other,0,0,0
35,Mustard,Other,0,0,0
36,Alfalfa,Hay/alfalfa,255,165,226
37,Other Hay/Non Alfalfa,Hay/alfalfa,255,165,226
38,Camelina,Hay/alfalfa,255,165,226
39,Buckwheat,Hay/alfalfa,255,165,226
40,,Other,0,0,0
41,Sugarbeets,Other,0,0,0
42,Dry Beans,Other,0,0,0
43,Potatoes,Other,0,0,0
44,Other Crops,Other,0,0,0
45,Sugarcane,Other,0,0,0
46,Sweet Potatoes,Other,0,0,0
47,Misc Vegs & Fruits,Other,0,0,0
48,Watermelons,Other,0,0,0
49,Onions,Other,0,0,0
50,Cucumbers,Other,0,0,0
51,Chick Peas,Other,0,0,0
52,Lentils,Other,0,0,0
53,Peas,Other,0,0,0
54,Tomatoes,Other,0,0,0
55,Caneberries,Other,0,0,0
56,Hops,Other,0,0,0
57,Herbs,Other,0,0,0
58,Clover/Wildflowers,Other,0,0,0
59,Sod/Grass Seed,Other,0,0,0
60,Switchgrass,Pasture/grass,232,255,191
61,Fallow/Idle Cropland,Fallow land,191,191,119
62,Pasture/Grass,Pasture/grass,232,255,191
63,Forest,Forest,147,204,147
64,Shrubland,Forest,147,204,147
65,Barren,Pasture/grass,232,255,191
66,Cherries,Other,0,0,0
67,Peaches,Other,0,0,0
68,Apples,Other,0,0,0
69,Grapes,Other,0,0,0
70,Christmas Trees,Other,0,0,0
71,Other Tree Crops,Other,0,0,0
72,Citrus,Other,0,0,0
73,,Other,0,0,0
74,Pecans,Other,0,0,0
75,Almonds,Other,0,0,0
76,Walnuts,Other,0,0,0
77,Pears,Other,0,0,0
78,,Other,0,0,0
79,,Other,0,0,0
80,,Other,0,0,0
81,Clouds/No Data,Other,0,0,0
82,Developed,Developed,155,155,155
83,Water,Water/wetland,76,112,163
84,,Other,0,0,0
85,,Other,0,0,0
86,,Other,0,0,0
